course_name,letter_grade,description,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,IP,NP,NR,P,S,U
Quantitative & Systems Biology 281,B-,% of Total Number of Records along Grade Code Final,,,,,,4%,,,,,,,,,,,,,,
Quantitative & Systems Biology 281,B-,Number of Records,,,,,,1,,,,,,,,,,,,,,
Quantitative & Systems Biology 281,B+,% of Total Number of Records along Grade Code Final,,,,4%,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 281,B+,Number of Records,,,,1,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 282,A,% of Total Number of Records along Grade Code Final,,42%,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 282,A,Number of Records,,42,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 282,A-,% of Total Number of Records along Grade Code Final,,,18%,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 282,A-,Number of Records,,,18,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 282,A+,% of Total Number of Records along Grade Code Final,13%,,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 282,A+,Number of Records,13,,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 282,B,% of Total Number of Records along Grade Code Final,,,,,5%,,,,,,,,,,,,,,,
Quantitative & Systems Biology 282,B,Number of Records,,,,,5,,,,,,,,,,,,,,,
Quantitative & Systems Biology 282,B-,% of Total Number of Records along Grade Code Final,,,,,,4%,,,,,,,,,,,,,,
Quantitative & Systems Biology 282,B-,Number of Records,,,,,,4,,,,,,,,,,,,,,
Quantitative & Systems Biology 282,B+,% of Total Number of Records along Grade Code Final,,,,13%,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 282,B+,Number of Records,,,,13,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 282,C+,% of Total Number of Records along Grade Code Final,,,,,,,1%,,,,,,,,,,,,,
Quantitative & Systems Biology 282,C+,Number of Records,,,,,,,1,,,,,,,,,,,,,
Quantitative & Systems Biology 282,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,2%,,,,,,,
Quantitative & Systems Biology 282,F,Number of Records,,,,,,,,,,,,,2,,,,,,,
Quantitative & Systems Biology 282,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
Quantitative & Systems Biology 282,W,Number of Records,,,,,,,,,,,,,,1,,,,,,
Quantitative & Systems Biology 283,A,% of Total Number of Records along Grade Code Final,,40%,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 283,A,Number of Records,,4,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 283,A-,% of Total Number of Records along Grade Code Final,,,40%,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 283,A-,Number of Records,,,4,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 283,B+,% of Total Number of Records along Grade Code Final,,,,20%,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 283,B+,Number of Records,,,,2,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 285,A,% of Total Number of Records along Grade Code Final,,53%,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 285,A,Number of Records,,18,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 285,A-,% of Total Number of Records along Grade Code Final,,,12%,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 285,A-,Number of Records,,,4,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 285,A+,% of Total Number of Records along Grade Code Final,32%,,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 285,A+,Number of Records,11,,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 285,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,3%,,,,,,,
Quantitative & Systems Biology 285,F,Number of Records,,,,,,,,,,,,,1,,,,,,,
Quantitative & Systems Biology 288,A,% of Total Number of Records along Grade Code Final,,91%,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 288,A,Number of Records,,78,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 288,A+,% of Total Number of Records along Grade Code Final,9%,,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 288,A+,Number of Records,8,,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 290,A,% of Total Number of Records along Grade Code Final,,37%,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 290,A,Number of Records,,46,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 290,A-,% of Total Number of Records along Grade Code Final,,,13%,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 290,A-,Number of Records,,,16,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 290,A+,% of Total Number of Records along Grade Code Final,16%,,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 290,A+,Number of Records,20,,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 290,B,% of Total Number of Records along Grade Code Final,,,,,11%,,,,,,,,,,,,,,,
Quantitative & Systems Biology 290,B,Number of Records,,,,,14,,,,,,,,,,,,,,,
Quantitative & Systems Biology 290,B+,% of Total Number of Records along Grade Code Final,,,,11%,,,,,,,,,,,,,,,,
﻿Quantitative & Systems Biology 290,B+,Number of Records,,,,14,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 290,C,% of Total Number of Records along Grade Code Final,,,,,,,,1%,,,,,,,,,,,,
Quantitative & Systems Biology 290,C,Number of Records,,,,,,,,1,,,,,,,,,,,,
Quantitative & Systems Biology 290,C+,% of Total Number of Records along Grade Code Final,,,,,,,1%,,,,,,,,,,,,,
Quantitative & Systems Biology 290,C+,Number of Records,,,,,,,1,,,,,,,,,,,,,
Quantitative & Systems Biology 290,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,1%,,,,,,,
Quantitative & Systems Biology 290,F,Number of Records,,,,,,,,,,,,,1,,,,,,,
Quantitative & Systems Biology 290,S,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,7%,
Quantitative & Systems Biology 290,S,Number of Records,,,,,,,,,,,,,,,,,,,9,
Quantitative & Systems Biology 290,U,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,,1%
Quantitative & Systems Biology 290,U,Number of Records,,,,,,,,,,,,,,,,,,,,1
Quantitative & Systems Biology 290,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
Quantitative & Systems Biology 290,W,Number of Records,,,,,,,,,,,,,,3,,,,,,
Quantitative & Systems Biology 291,A,% of Total Number of Records along Grade Code Final,,28%,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 291,A,Number of Records,,183,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 291,A-,% of Total Number of Records along Grade Code Final,,,2%,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 291,A-,Number of Records,,,16,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 291,A+,% of Total Number of Records along Grade Code Final,2%,,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 291,A+,Number of Records,11,,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 291,B,% of Total Number of Records along Grade Code Final,,,,,1%,,,,,,,,,,,,,,,
Quantitative & Systems Biology 291,B,Number of Records,,,,,9,,,,,,,,,,,,,,,
Quantitative & Systems Biology 291,B-,% of Total Number of Records along Grade Code Final,,,,,,0%,,,,,,,,,,,,,,
Quantitative & Systems Biology 291,B-,Number of Records,,,,,,3,,,,,,,,,,,,,,
Quantitative & Systems Biology 291,B+,% of Total Number of Records along Grade Code Final,,,,2%,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 291,B+,Number of Records,,,,10,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 291,C,% of Total Number of Records along Grade Code Final,,,,,,,,0%,,,,,,,,,,,,
Quantitative & Systems Biology 291,C,Number of Records,,,,,,,,2,,,,,,,,,,,,
Quantitative & Systems Biology 291,S,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,64%,
Quantitative & Systems Biology 291,S,Number of Records,,,,,,,,,,,,,,,,,,,420,
Quantitative & Systems Biology 291,U,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,,0%
Quantitative & Systems Biology 291,U,Number of Records,,,,,,,,,,,,,,,,,,,,2
Quantitative & Systems Biology 291,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,0%,,,,,,
Quantitative & Systems Biology 291,W,Number of Records,,,,,,,,,,,,,,2,,,,,,
Quantitative & Systems Biology 292,A,% of Total Number of Records along Grade Code Final,,88%,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 292,A,Number of Records,,"1,718",,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 292,A-,% of Total Number of Records along Grade Code Final,,,2%,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 292,A-,Number of Records,,,40,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 292,A+,% of Total Number of Records along Grade Code Final,7%,,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 292,A+,Number of Records,132,,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 292,B,% of Total Number of Records along Grade Code Final,,,,,1%,,,,,,,,,,,,,,,
Quantitative & Systems Biology 292,B,Number of Records,,,,,27,,,,,,,,,,,,,,,
Quantitative & Systems Biology 292,B-,% of Total Number of Records along Grade Code Final,,,,,,0%,,,,,,,,,,,,,,
Quantitative & Systems Biology 292,B-,Number of Records,,,,,,4,,,,,,,,,,,,,,
Quantitative & Systems Biology 292,B+,% of Total Number of Records along Grade Code Final,,,,1%,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 292,B+,Number of Records,,,,17,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 292,C,% of Total Number of Records along Grade Code Final,,,,,,,,0%,,,,,,,,,,,,
Quantitative & Systems Biology 292,C,Number of Records,,,,,,,,4,,,,,,,,,,,,
Quantitative & Systems Biology 292,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,0%,,,,,,,
Quantitative & Systems Biology 292,F,Number of Records,,,,,,,,,,,,,4,,,,,,,
Quantitative & Systems Biology 292,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,0%,,,,,,
﻿Quantitative & Systems Biology 292,W,Number of Records,,,,,,,,,,,,,,1,,,,,,
Quantitative & Systems Biology 293,A,% of Total Number of Records along Grade Code Final,,88%,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 293,A,Number of Records,,"1,548",,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 293,A-,% of Total Number of Records along Grade Code Final,,,2%,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 293,A-,Number of Records,,,29,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 293,A+,% of Total Number of Records along Grade Code Final,7%,,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 293,A+,Number of Records,119,,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 293,B,% of Total Number of Records along Grade Code Final,,,,,2%,,,,,,,,,,,,,,,
Quantitative & Systems Biology 293,B,Number of Records,,,,,27,,,,,,,,,,,,,,,
Quantitative & Systems Biology 293,B-,% of Total Number of Records along Grade Code Final,,,,,,0%,,,,,,,,,,,,,,
Quantitative & Systems Biology 293,B-,Number of Records,,,,,,4,,,,,,,,,,,,,,
Quantitative & Systems Biology 293,B+,% of Total Number of Records along Grade Code Final,,,,1%,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 293,B+,Number of Records,,,,12,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 293,C,% of Total Number of Records along Grade Code Final,,,,,,,,0%,,,,,,,,,,,,
Quantitative & Systems Biology 293,C,Number of Records,,,,,,,,5,,,,,,,,,,,,
Quantitative & Systems Biology 293,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,0%,,,,,,,
Quantitative & Systems Biology 293,F,Number of Records,,,,,,,,,,,,,3,,,,,,,
Quantitative & Systems Biology 293,NR,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,0%,,,
Quantitative & Systems Biology 293,NR,Number of Records,,,,,,,,,,,,,,,,,2,,,
Quantitative & Systems Biology 293,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,0%,,,,,,
Quantitative & Systems Biology 293,W,Number of Records,,,,,,,,,,,,,,1,,,,,,
Quantitative & Systems Biology 294,S,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,99%,
Quantitative & Systems Biology 294,S,Number of Records,,,,,,,,,,,,,,,,,,,586,
Quantitative & Systems Biology 294,U,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,,0%
Quantitative & Systems Biology 294,U,Number of Records,,,,,,,,,,,,,,,,,,,,1
Quantitative & Systems Biology 294,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,0%,,,,,,
Quantitative & Systems Biology 294,W,Number of Records,,,,,,,,,,,,,,2,,,,,,
Quantitative & Systems Biology 295,A,% of Total Number of Records along Grade Code Final,,79%,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 295,A,Number of Records,,"1,977",,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 295,A-,% of Total Number of Records along Grade Code Final,,,5%,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 295,A-,Number of Records,,,130,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 295,A+,% of Total Number of Records along Grade Code Final,10%,,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 295,A+,Number of Records,242,,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 295,B,% of Total Number of Records along Grade Code Final,,,,,3%,,,,,,,,,,,,,,,
Quantitative & Systems Biology 295,B,Number of Records,,,,,65,,,,,,,,,,,,,,,
Quantitative & Systems Biology 295,B-,% of Total Number of Records along Grade Code Final,,,,,,1%,,,,,,,,,,,,,,
Quantitative & Systems Biology 295,B-,Number of Records,,,,,,22,,,,,,,,,,,,,,
Quantitative & Systems Biology 295,B+,% of Total Number of Records along Grade Code Final,,,,2%,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 295,B+,Number of Records,,,,42,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 295,C,% of Total Number of Records along Grade Code Final,,,,,,,,0%,,,,,,,,,,,,
Quantitative & Systems Biology 295,C,Number of Records,,,,,,,,6,,,,,,,,,,,,
Quantitative & Systems Biology 295,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,0%,,,,,,,,,,,
Quantitative & Systems Biology 295,C-,Number of Records,,,,,,,,,1,,,,,,,,,,,
Quantitative & Systems Biology 295,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,0%,,,,,,,,,
Quantitative & Systems Biology 295,D,Number of Records,,,,,,,,,,,1,,,,,,,,,
Quantitative & Systems Biology 295,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,0%,,,,,,,
Quantitative & Systems Biology 295,F,Number of Records,,,,,,,,,,,,,5,,,,,,,
Quantitative & Systems Biology 295,S,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,1%,
Quantitative & Systems Biology 295,S,Number of Records,,,,,,,,,,,,,,,,,,,21,
Quantitative & Systems Biology 295,U,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,,0%
﻿Quantitative & Systems Biology 295,U,Number of Records,,,,,,,,,,,,,,,,,,,,2
Quantitative & Systems Biology 295,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,0%,,,,,,
Quantitative & Systems Biology 295,W,Number of Records,,,,,,,,,,,,,,2,,,,,,
Quantitative & Systems Biology 296,A,% of Total Number of Records along Grade Code Final,,67%,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 296,A,Number of Records,,70,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 296,A-,% of Total Number of Records along Grade Code Final,,,14%,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 296,A-,Number of Records,,,15,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 296,A+,% of Total Number of Records along Grade Code Final,8%,,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 296,A+,Number of Records,8,,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 296,B,% of Total Number of Records along Grade Code Final,,,,,8%,,,,,,,,,,,,,,,
Quantitative & Systems Biology 296,B,Number of Records,,,,,8,,,,,,,,,,,,,,,
Quantitative & Systems Biology 296,B+,% of Total Number of Records along Grade Code Final,,,,4%,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 296,B+,Number of Records,,,,4,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 297,A,% of Total Number of Records along Grade Code Final,,10%,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 297,A,Number of Records,,3,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 297,A-,% of Total Number of Records along Grade Code Final,,,3%,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 297,A-,Number of Records,,,1,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 297,A+,% of Total Number of Records along Grade Code Final,40%,,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 297,A+,Number of Records,12,,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 297,B,% of Total Number of Records along Grade Code Final,,,,,20%,,,,,,,,,,,,,,,
Quantitative & Systems Biology 297,B,Number of Records,,,,,6,,,,,,,,,,,,,,,
Quantitative & Systems Biology 297,B-,% of Total Number of Records along Grade Code Final,,,,,,17%,,,,,,,,,,,,,,
Quantitative & Systems Biology 297,B-,Number of Records,,,,,,5,,,,,,,,,,,,,,
Quantitative & Systems Biology 297,B+,% of Total Number of Records along Grade Code Final,,,,7%,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 297,B+,Number of Records,,,,2,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 297,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,3%,,,,,,
Quantitative & Systems Biology 297,W,Number of Records,,,,,,,,,,,,,,1,,,,,,
Quantitative & Systems Biology 298,A,% of Total Number of Records along Grade Code Final,,75%,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 298,A,Number of Records,,252,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 298,A-,% of Total Number of Records along Grade Code Final,,,5%,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 298,A-,Number of Records,,,16,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 298,A+,% of Total Number of Records along Grade Code Final,8%,,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 298,A+,Number of Records,27,,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 298,B,% of Total Number of Records along Grade Code Final,,,,,1%,,,,,,,,,,,,,,,
Quantitative & Systems Biology 298,B,Number of Records,,,,,3,,,,,,,,,,,,,,,
Quantitative & Systems Biology 298,B-,% of Total Number of Records along Grade Code Final,,,,,,1%,,,,,,,,,,,,,,
Quantitative & Systems Biology 298,B-,Number of Records,,,,,,2,,,,,,,,,,,,,,
Quantitative & Systems Biology 298,B+,% of Total Number of Records along Grade Code Final,,,,3%,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 298,B+,Number of Records,,,,9,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 298,C,% of Total Number of Records along Grade Code Final,,,,,,,,0%,,,,,,,,,,,,
Quantitative & Systems Biology 298,C,Number of Records,,,,,,,,1,,,,,,,,,,,,
Quantitative & Systems Biology 298,S,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,8%,
Quantitative & Systems Biology 298,S,Number of Records,,,,,,,,,,,,,,,,,,,26,
Quantitative & Systems Biology 298,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,0%,,,,,,
Quantitative & Systems Biology 298,W,Number of Records,,,,,,,,,,,,,,1,,,,,,
Quantitative & Systems Biology 299,A,% of Total Number of Records along Grade Code Final,,43%,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 299,A,Number of Records,,28,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 299,A+,% of Total Number of Records along Grade Code Final,5%,,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 299,A+,Number of Records,3,,,,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 299,B,% of Total Number of Records along Grade Code Final,,,,,8%,,,,,,,,,,,,,,,
﻿Quantitative & Systems Biology 299,B,Number of Records,,,,,5,,,,,,,,,,,,,,,
Quantitative & Systems Biology 299,B-,% of Total Number of Records along Grade Code Final,,,,,,2%,,,,,,,,,,,,,,
Quantitative & Systems Biology 299,B-,Number of Records,,,,,,1,,,,,,,,,,,,,,
Quantitative & Systems Biology 299,B+,% of Total Number of Records along Grade Code Final,,,,8%,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 299,B+,Number of Records,,,,5,,,,,,,,,,,,,,,,
Quantitative & Systems Biology 299,S,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,31%,
Quantitative & Systems Biology 299,S,Number of Records,,,,,,,,,,,,,,,,,,,20,
Quantitative & Systems Biology 299,U,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,,2%
Quantitative & Systems Biology 299,U,Number of Records,,,,,,,,,,,,,,,,,,,,1
Quantitative & Systems Biology 299,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,3%,,,,,,
Quantitative & Systems Biology 299,W,Number of Records,,,,,,,,,,,,,,2,,,,,,
Quantitative & Systems Biology 399,S,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,100%,
Quantitative & Systems Biology 399,S,Number of Records,,,,,,,,,,,,,,,,,,,16,
Social Sciences 145,A,% of Total Number of Records along Grade Code Final,,7%,,,,,,,,,,,,,,,,,,
Social Sciences 145,A,Number of Records,,2,,,,,,,,,,,,,,,,,,
Social Sciences 145,A-,% of Total Number of Records along Grade Code Final,,,23%,,,,,,,,,,,,,,,,,
Social Sciences 145,A-,Number of Records,,,7,,,,,,,,,,,,,,,,,
Social Sciences 145,A+,% of Total Number of Records along Grade Code Final,20%,,,,,,,,,,,,,,,,,,,
Social Sciences 145,A+,Number of Records,6,,,,,,,,,,,,,,,,,,,
Social Sciences 145,B,% of Total Number of Records along Grade Code Final,,,,,17%,,,,,,,,,,,,,,,
Social Sciences 145,B,Number of Records,,,,,5,,,,,,,,,,,,,,,
Social Sciences 145,B-,% of Total Number of Records along Grade Code Final,,,,,,13%,,,,,,,,,,,,,,
Social Sciences 145,B-,Number of Records,,,,,,4,,,,,,,,,,,,,,
Social Sciences 145,B+,% of Total Number of Records along Grade Code Final,,,,10%,,,,,,,,,,,,,,,,
Social Sciences 145,B+,Number of Records,,,,3,,,,,,,,,,,,,,,,
Social Sciences 145,C,% of Total Number of Records along Grade Code Final,,,,,,,,3%,,,,,,,,,,,,
Social Sciences 145,C,Number of Records,,,,,,,,1,,,,,,,,,,,,
Social Sciences 145,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,7%,,,,,,,
Social Sciences 145,F,Number of Records,,,,,,,,,,,,,2,,,,,,,
Social Sciences 295,A,% of Total Number of Records along Grade Code Final,,80%,,,,,,,,,,,,,,,,,,
Social Sciences 295,A,Number of Records,,56,,,,,,,,,,,,,,,,,,
Social Sciences 295,A-,% of Total Number of Records along Grade Code Final,,,1%,,,,,,,,,,,,,,,,,
Social Sciences 295,A-,Number of Records,,,1,,,,,,,,,,,,,,,,,
Social Sciences 295,A+,% of Total Number of Records along Grade Code Final,4%,,,,,,,,,,,,,,,,,,,
Social Sciences 295,A+,Number of Records,3,,,,,,,,,,,,,,,,,,,
Social Sciences 295,S,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,13%,
Social Sciences 295,S,Number of Records,,,,,,,,,,,,,,,,,,,9,
Social Sciences 295,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
Social Sciences 295,W,Number of Records,,,,,,,,,,,,,,1,,,,,,
Social Sciences 298,S,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,100%,
Social Sciences 298,S,Number of Records,,,,,,,,,,,,,,,,,,,23,
Social Sciences 299,S,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,99%,
Social Sciences 299,S,Number of Records,,,,,,,,,,,,,,,,,,,92,
Social Sciences 299,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
Social Sciences 299,W,Number of Records,,,,,,,,,,,,,,1,,,,,,
Sociology 001,A,% of Total Number of Records along Grade Code Final,,9%,,,,,,,,,,,,,,,,,,
Sociology 001,A,Number of Records,,686,,,,,,,,,,,,,,,,,,
Sociology 001,A-,% of Total Number of Records along Grade Code Final,,,12%,,,,,,,,,,,,,,,,,
Sociology 001,A-,Number of Records,,,885,,,,,,,,,,,,,,,,,
Sociology 001,A+,% of Total Number of Records along Grade Code Final,6%,,,,,,,,,,,,,,,,,,,
﻿Sociology 001,A+,Number of Records,412,,,,,,,,,,,,,,,,,,,
Sociology 001,B,% of Total Number of Records along Grade Code Final,,,,,14%,,,,,,,,,,,,,,,
Sociology 001,B,Number of Records,,,,,"1,070",,,,,,,,,,,,,,,
Sociology 001,B-,% of Total Number of Records along Grade Code Final,,,,,,10%,,,,,,,,,,,,,,
Sociology 001,B-,Number of Records,,,,,,752,,,,,,,,,,,,,,
Sociology 001,B+,% of Total Number of Records along Grade Code Final,,,,10%,,,,,,,,,,,,,,,,
Sociology 001,B+,Number of Records,,,,726,,,,,,,,,,,,,,,,
Sociology 001,C,% of Total Number of Records along Grade Code Final,,,,,,,,11%,,,,,,,,,,,,
Sociology 001,C,Number of Records,,,,,,,,787,,,,,,,,,,,,
Sociology 001,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,6%,,,,,,,,,,,
Sociology 001,C-,Number of Records,,,,,,,,,419,,,,,,,,,,,
Sociology 001,C+,% of Total Number of Records along Grade Code Final,,,,,,,8%,,,,,,,,,,,,,
Sociology 001,C+,Number of Records,,,,,,,574,,,,,,,,,,,,,
Sociology 001,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,3%,,,,,,,,,
Sociology 001,D,Number of Records,,,,,,,,,,,255,,,,,,,,,
Sociology 001,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,2%,,,,,,,,
Sociology 001,D-,Number of Records,,,,,,,,,,,,134,,,,,,,,
Sociology 001,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,3%,,,,,,,,,,
Sociology 001,D+,Number of Records,,,,,,,,,,239,,,,,,,,,,
Sociology 001,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,5%,,,,,,,
Sociology 001,F,Number of Records,,,,,,,,,,,,,366,,,,,,,
Sociology 001,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
Sociology 001,NP,Number of Records,,,,,,,,,,,,,,,,16,,,,
Sociology 001,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,0%,,
Sociology 001,P,Number of Records,,,,,,,,,,,,,,,,,,21,,
Sociology 001,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
Sociology 001,W,Number of Records,,,,,,,,,,,,,,115,,,,,,
Sociology 002,A,% of Total Number of Records along Grade Code Final,,29%,,,,,,,,,,,,,,,,,,
Sociology 002,A,Number of Records,,48,,,,,,,,,,,,,,,,,,
Sociology 002,A-,% of Total Number of Records along Grade Code Final,,,23%,,,,,,,,,,,,,,,,,
Sociology 002,A-,Number of Records,,,37,,,,,,,,,,,,,,,,,
Sociology 002,A+,% of Total Number of Records along Grade Code Final,15%,,,,,,,,,,,,,,,,,,,
Sociology 002,A+,Number of Records,25,,,,,,,,,,,,,,,,,,,
